"area_code","area_name","date","new_cases","total_cases"
"E09000016","Havering",2020-01-30,0,0
"E09000017","Hillingdon",2020-01-30,0,0
"E09000018","Hounslow",2020-01-30,0,0
"E09000019","Islington",2020-01-30,0,0
"E09000020","Kensington and Chelsea",2020-01-30,0,0
"E09000021","Kingston upon Thames",2020-01-30,0,0
"E09000022","Lambeth",2020-01-30,0,0
"E09000023","Lewisham",2020-01-30,0,0
"E09000024","Merton",2020-01-30,0,0
"E09000025","Newham",2020-01-30,0,0
"E09000026","Redbridge",2020-01-30,0,0
"E09000027","Richmond upon Thames",2020-01-30,0,0
"E09000028","Southwark",2020-01-30,0,0
"E09000029","Sutton",2020-01-30,0,0
"E09000030","Tower Hamlets",2020-01-30,0,0
"E09000031","Waltham Forest",2020-01-30,0,0
"E09000032","Wandsworth",2020-01-30,0,0
"E09000033","Westminster",2020-01-30,0,0
"E09000001","City of London",2020-01-31,0,0
"E09000002","Barking and Dagenham",2020-01-31,0,0
"E09000003","Barnet",2020-01-31,0,0
"E09000004","Bexley",2020-01-31,0,0
"E09000005","Brent",2020-01-31,0,0
"E09000006","Bromley",2020-01-31,0,0
"E09000007","Camden",2020-01-31,0,0
"E09000008","Croydon",2020-01-31,0,0
"E09000009","Ealing",2020-01-31,0,0
"E09000010","Enfield",2020-01-31,0,0
"E09000011","Greenwich",2020-01-31,0,0
"E09000012","Hackney",2020-01-31,0,0
"E09000013","Hammersmith and Fulham",2020-01-31,0,0
"E09000014","Haringey",2020-01-31,0,0
"E09000015","Harrow",2020-01-31,0,0
"E09000016","Havering",2020-01-31,0,0
"E09000017","Hillingdon",2020-01-31,0,0
"E09000018","Hounslow",2020-01-31,0,0
"E09000019","Islington",2020-01-31,0,0
"E09000020","Kensington and Chelsea",2020-01-31,0,0
"E09000021","Kingston upon Thames",2020-01-31,0,0
"E09000022","Lambeth",2020-01-31,0,0
"E09000023","Lewisham",2020-01-31,0,0
"E09000024","Merton",2020-01-31,0,0
"E09000025","Newham",2020-01-31,0,0
"E09000026","Redbridge",2020-01-31,0,0
"E09000027","Richmond upon Thames",2020-01-31,0,0
"E09000028","Southwark",2020-01-31,0,0
"E09000029","Sutton",2020-01-31,0,0
"E09000030","Tower Hamlets",2020-01-31,0,0
"E09000031","Waltham Forest",2020-01-31,0,0
"E09000032","Wandsworth",2020-01-31,0,0
"E09000033","Westminster",2020-01-31,0,0
"E09000001","City of London",2020-02-01,0,0
"E09000002","Barking and Dagenham",2020-02-01,0,0
"E09000003","Barnet",2020-02-01,0,0
"E09000004","Bexley",2020-02-01,0,0
"E09000005","Brent",2020-02-01,0,0
"E09000006","Bromley",2020-02-01,0,0
"E09000007","Camden",2020-02-01,0,0
"E09000008","Croydon",2020-02-01,0,0
"E09000009","Ealing",2020-02-01,0,0
"E09000010","Enfield",2020-02-01,0,0
"E09000011","Greenwich",2020-02-01,0,0
"E09000012","Hackney",2020-02-01,0,0
"E09000013","Hammersmith and Fulham",2020-02-01,0,0
"E09000014","Haringey",2020-02-01,0,0
"E09000015","Harrow",2020-02-01,0,0
"E09000016","Havering",2020-02-01,0,0
"E09000017","Hillingdon",2020-02-01,0,0
"E09000018","Hounslow",2020-02-01,0,0
"E09000019","Islington",2020-02-01,0,0
"E09000020","Kensington and Chelsea",2020-02-01,0,0
"E09000021","Kingston upon Thames",2020-02-01,0,0
"E09000022","Lambeth",2020-02-01,0,0
"E09000023","Lewisham",2020-02-01,0,0
"E09000024","Merton",2020-02-01,0,0
"E09000025","Newham",2020-02-01,0,0
"E09000026","Redbridge",2020-02-01,0,0
"E09000027","Richmond upon Thames",2020-02-01,0,0
"E09000028","Southwark",2020-02-01,0,0
"E09000029","Sutton",2020-02-01,0,0
"E09000030","Tower Hamlets",2020-02-01,0,0
"E09000031","Waltham Forest",2020-02-01,0,0
"E09000032","Wandsworth",2020-02-01,0,0
"E09000033","Westminster",2020-02-01,0,0
"E09000001","City of London",2020-02-02,0,0
"E09000002","Barking and Dagenham",2020-02-02,0,0
"E09000003","Barnet",2020-02-02,0,0
"E09000004","Bexley",2020-02-02,0,0
"E09000005","Brent",2020-02-02,0,0
"E09000006","Bromley",2020-02-02,0,0
"E09000007","Camden",2020-02-02,0,0
"E09000008","Croydon",2020-02-02,0,0
"E09000009","Ealing",2020-02-02,0,0
"E09000010","Enfield",2020-02-02,0,0
"E09000011","Greenwich",2020-02-02,0,0
"E09000012","Hackney",2020-02-02,0,0
"E09000013","Hammersmith and Fulham",2020-02-02,0,0
"E09000014","Haringey",2020-02-02,0,0
"E09000015","Harrow",2020-02-02,0,0
"E09000016","Havering",2020-02-02,0,0
"E09000017","Hillingdon",2020-02-02,0,0
"E09000018","Hounslow",2020-02-02,0,0
"E09000019","Islington",2020-02-02,0,0
"E09000020","Kensington and Chelsea",2020-02-02,0,0
"E09000021","Kingston upon Thames",2020-02-02,0,0
"E09000022","Lambeth",2020-02-02,0,0
"E09000023","Lewisham",2020-02-02,0,0
"E09000024","Merton",2020-02-02,0,0
"E09000025","Newham",2020-02-02,0,0
"E09000026","Redbridge",2020-02-02,0,0
"E09000027","Richmond upon Thames",2020-02-02,0,0
"E09000028","Southwark",2020-02-02,0,0
"E09000029","Sutton",2020-02-02,0,0
"E09000030","Tower Hamlets",2020-02-02,0,0
"E09000031","Waltham Forest",2020-02-02,0,0
"E09000032","Wandsworth",2020-02-02,0,0
"E09000033","Westminster",2020-02-02,0,0
"E09000001","City of London",2020-02-03,0,0
"E09000002","Barking and Dagenham",2020-02-03,0,0
"E09000003","Barnet",2020-02-03,0,0
"E09000004","Bexley",2020-02-03,0,0
"E09000005","Brent",2020-02-03,0,0
"E09000006","Bromley",2020-02-03,0,0
"E09000007","Camden",2020-02-03,0,0
"E09000008","Croydon",2020-02-03,0,0
"E09000009","Ealing",2020-02-03,0,0
"E09000010","Enfield",2020-02-03,0,0
"E09000011","Greenwich",2020-02-03,0,0
"E09000012","Hackney",2020-02-03,0,0
"E09000013","Hammersmith and Fulham",2020-02-03,0,0
"E09000014","Haringey",2020-02-03,0,0
"E09000015","Harrow",2020-02-03,0,0
"E09000016","Havering",2020-02-03,0,0
"E09000017","Hillingdon",2020-02-03,0,0
"E09000018","Hounslow",2020-02-03,0,0
"E09000019","Islington",2020-02-03,0,0
"E09000020","Kensington and Chelsea",2020-02-03,0,0
"E09000021","Kingston upon Thames",2020-02-03,0,0
"E09000022","Lambeth",2020-02-03,0,0
"E09000023","Lewisham",2020-02-03,0,0
"E09000024","Merton",2020-02-03,0,0
"E09000025","Newham",2020-02-03,0,0
"E09000026","Redbridge",2020-02-03,0,0
"E09000027","Richmond upon Thames",2020-02-03,0,0
"E09000028","Southwark",2020-02-03,0,0
"E09000029","Sutton",2020-02-03,0,0
"E09000030","Tower Hamlets",2020-02-03,0,0
"E09000031","Waltham Forest",2020-02-03,0,0
"E09000032","Wandsworth",2020-02-03,0,0
"E09000033","Westminster",2020-02-03,0,0
"E09000001","City of London",2020-02-04,0,0
"E09000002","Barking and Dagenham",2020-02-04,0,0
"E09000003","Barnet",2020-02-04,0,0
"E09000004","Bexley",2020-02-04,0,0
"E09000005","Brent",2020-02-04,0,0
"E09000006","Bromley",2020-02-04,0,0
"E09000007","Camden",2020-02-04,0,0
"E09000008","Croydon",2020-02-04,0,0
"E09000009","Ealing",2020-02-04,0,0
"E09000010","Enfield",2020-02-04,0,0
"E09000011","Greenwich",2020-02-04,0,0
"E09000012","Hackney",2020-02-04,0,0
"E09000013","Hammersmith and Fulham",2020-02-04,0,0
"E09000014","Haringey",2020-02-04,0,0
"E09000015","Harrow",2020-02-04,0,0
"E09000016","Havering",2020-02-04,0,0
"E09000017","Hillingdon",2020-02-04,0,0
"E09000018","Hounslow",2020-02-04,0,0
"E09000019","Islington",2020-02-04,0,0
"E09000020","Kensington and Chelsea",2020-02-04,0,0
"E09000021","Kingston upon Thames",2020-02-04,0,0
"E09000022","Lambeth",2020-02-04,0,0
"E09000023","Lewisham",2020-02-04,0,0
"E09000024","Merton",2020-02-04,0,0
"E09000025","Newham",2020-02-04,0,0
"E09000026","Redbridge",2020-02-04,0,0
"E09000027","Richmond upon Thames",2020-02-04,0,0
"E09000028","Southwark",2020-02-04,0,0
"E09000029","Sutton",2020-02-04,0,0
"E09000030","Tower Hamlets",2020-02-04,0,0
"E09000031","Waltham Forest",2020-02-04,0,0
"E09000032","Wandsworth",2020-02-04,0,0
"E09000033","Westminster",2020-02-04,0,0
"E09000001","City of London",2020-02-05,0,0
"E09000002","Barking and Dagenham",2020-02-05,0,0
"E09000003","Barnet",2020-02-05,0,0
"E09000004","Bexley",2020-02-05,0,0
"E09000005","Brent",2020-02-05,0,0
"E09000006","Bromley",2020-02-05,0,0
"E09000007","Camden",2020-02-05,0,0
"E09000008","Croydon",2020-02-05,0,0
"E09000009","Ealing",2020-02-05,0,0
"E09000010","Enfield",2020-02-05,0,0
"E09000011","Greenwich",2020-02-05,0,0
"E09000012","Hackney",2020-02-05,0,0
"E09000013","Hammersmith and Fulham",2020-02-05,0,0
"E09000014","Haringey",2020-02-05,0,0
"E09000015","Harrow",2020-02-05,0,0
"E09000016","Havering",2020-02-05,0,0
"E09000017","Hillingdon",2020-02-05,0,0
"E09000018","Hounslow",2020-02-05,0,0
"E09000019","Islington",2020-02-05,0,0
"E09000020","Kensington and Chelsea",2020-02-05,0,0
"E09000021","Kingston upon Thames",2020-02-05,0,0
"E09000022","Lambeth",2020-02-05,0,0
"E09000023","Lewisham",2020-02-05,0,0
"E09000024","Merton",2020-02-05,0,0
"E09000025","Newham",2020-02-05,0,0
"E09000026","Redbridge",2020-02-05,0,0
"E09000027","Richmond upon Thames",2020-02-05,0,0
"E09000028","Southwark",2020-02-05,0,0
"E09000029","Sutton",2020-02-05,0,0
"E09000030","Tower Hamlets",2020-02-05,0,0
"E09000031","Waltham Forest",2020-02-05,0,0
"E09000032","Wandsworth",2020-02-05,0,0
"E09000033","Westminster",2020-02-05,0,0
"E09000001","City of London",2020-02-06,0,0
"E09000002","Barking and Dagenham",2020-02-06,0,0
"E09000003","Barnet",2020-02-06,0,0
"E09000004","Bexley",2020-02-06,0,0
"E09000005","Brent",2020-02-06,0,0
"E09000006","Bromley",2020-02-06,0,0
"E09000007","Camden",2020-02-06,0,0
"E09000008","Croydon",2020-02-06,0,0
"E09000009","Ealing",2020-02-06,0,0
"E09000010","Enfield",2020-02-06,0,0
"E09000011","Greenwich",2020-02-06,0,0
"E09000012","Hackney",2020-02-06,0,0
"E09000013","Hammersmith and Fulham",2020-02-06,0,0
"E09000014","Haringey",2020-02-06,0,0
"E09000015","Harrow",2020-02-06,0,0
"E09000016","Havering",2020-02-06,0,0
"E09000017","Hillingdon",2020-02-06,0,0
"E09000018","Hounslow",2020-02-06,0,0
"E09000019","Islington",2020-02-06,0,0
"E09000020","Kensington and Chelsea",2020-02-06,0,0
"E09000021","Kingston upon Thames",2020-02-06,0,0
"E09000022","Lambeth",2020-02-06,0,0
"E09000023","Lewisham",2020-02-06,0,0
"E09000024","Merton",2020-02-06,0,0
"E09000025","Newham",2020-02-06,0,0
"E09000026","Redbridge",2020-02-06,0,0
"E09000027","Richmond upon Thames",2020-02-06,0,0
"E09000028","Southwark",2020-02-06,0,0
"E09000029","Sutton",2020-02-06,0,0
"E09000030","Tower Hamlets",2020-02-06,0,0
"E09000031","Waltham Forest",2020-02-06,0,0
"E09000032","Wandsworth",2020-02-06,0,0
"E09000033","Westminster",2020-02-06,0,0
"E09000001","City of London",2020-02-07,0,0
"E09000002","Barking and Dagenham",2020-02-07,0,0
"E09000003","Barnet",2020-02-07,0,0
"E09000004","Bexley",2020-02-07,0,0
"E09000005","Brent",2020-02-07,0,0
"E09000006","Bromley",2020-02-07,0,0
"E09000007","Camden",2020-02-07,0,0
"E09000008","Croydon",2020-02-07,0,0
"E09000009","Ealing",2020-02-07,0,0
"E09000010","Enfield",2020-02-07,0,0
"E09000011","Greenwich",2020-02-07,0,0
"E09000012","Hackney",2020-02-07,0,0
"E09000013","Hammersmith and Fulham",2020-02-07,0,0
"E09000014","Haringey",2020-02-07,0,0
"E09000015","Harrow",2020-02-07,0,0
"E09000016","Havering",2020-02-07,0,0
"E09000017","Hillingdon",2020-02-07,0,0
"E09000018","Hounslow",2020-02-07,0,0
"E09000019","Islington",2020-02-07,0,0
"E09000020","Kensington and Chelsea",2020-02-07,0,0
"E09000021","Kingston upon Thames",2020-02-07,0,0
"E09000022","Lambeth",2020-02-07,0,0
"E09000023","Lewisham",2020-02-07,0,0
"E09000024","Merton",2020-02-07,0,0
"E09000025","Newham",2020-02-07,0,0
"E09000026","Redbridge",2020-02-07,0,0
"E09000027","Richmond upon Thames",2020-02-07,0,0
"E09000028","Southwark",2020-02-07,0,0
"E09000029","Sutton",2020-02-07,0,0
"E09000030","Tower Hamlets",2020-02-07,0,0
"E09000031","Waltham Forest",2020-02-07,0,0
"E09000032","Wandsworth",2020-02-07,0,0
"E09000033","Westminster",2020-02-07,0,0
"E09000001","City of London",2020-02-08,0,0
"E09000002","Barking and Dagenham",2020-02-08,0,0
"E09000003","Barnet",2020-02-08,0,0
"E09000004","Bexley",2020-02-08,0,0
"E09000005","Brent",2020-02-08,0,0
"E09000006","Bromley",2020-02-08,0,0
"E09000007","Camden",2020-02-08,0,0
"E09000008","Croydon",2020-02-08,0,0
"E09000009","Ealing",2020-02-08,0,0
"E09000010","Enfield",2020-02-08,0,0
"E09000011","Greenwich",2020-02-08,0,0
"E09000012","Hackney",2020-02-08,0,0
"E09000013","Hammersmith and Fulham",2020-02-08,0,0
"E09000014","Haringey",2020-02-08,0,0
"E09000015","Harrow",2020-02-08,0,0
"E09000016","Havering",2020-02-08,0,0
"E09000017","Hillingdon",2020-02-08,0,0
"E09000018","Hounslow",2020-02-08,0,0
"E09000019","Islington",2020-02-08,0,0
"E09000020","Kensington and Chelsea",2020-02-08,0,0
"E09000021","Kingston upon Thames",2020-02-08,0,0
"E09000022","Lambeth",2020-02-08,0,0
"E09000023","Lewisham",2020-02-08,0,0
"E09000024","Merton",2020-02-08,0,0
"E09000025","Newham",2020-02-08,0,0
"E09000026","Redbridge",2020-02-08,0,0
"E09000027","Richmond upon Thames",2020-02-08,0,0
"E09000028","Southwark",2020-02-08,0,0
"E09000029","Sutton",2020-02-08,0,0
"E09000030","Tower Hamlets",2020-02-08,0,0
"E09000031","Waltham Forest",2020-02-08,0,0
"E09000032","Wandsworth",2020-02-08,0,0
"E09000033","Westminster",2020-02-08,0,0
"E09000001","City of London",2020-02-09,0,0
"E09000002","Barking and Dagenham",2020-02-09,0,0
"E09000003","Barnet",2020-02-09,0,0
"E09000004","Bexley",2020-02-09,0,0
"E09000005","Brent",2020-02-09,0,0
"E09000006","Bromley",2020-02-09,0,0
"E09000007","Camden",2020-02-09,0,0
"E09000008","Croydon",2020-02-09,0,0
"E09000009","Ealing",2020-02-09,0,0
"E09000010","Enfield",2020-02-09,0,0
"E09000011","Greenwich",2020-02-09,0,0
"E09000012","Hackney",2020-02-09,0,0
"E09000013","Hammersmith and Fulham",2020-02-09,0,0
"E09000014","Haringey",2020-02-09,0,0
"E09000015","Harrow",2020-02-09,0,0
"E09000016","Havering",2020-02-09,0,0
"E09000017","Hillingdon",2020-02-09,0,0
"E09000018","Hounslow",2020-02-09,0,0
"E09000019","Islington",2020-02-09,0,0
"E09000020","Kensington and Chelsea",2020-02-09,0,0
"E09000021","Kingston upon Thames",2020-02-09,0,0
"E09000022","Lambeth",2020-02-09,0,0
"E09000023","Lewisham",2020-02-09,0,0
"E09000024","Merton",2020-02-09,0,0
"E09000025","Newham",2020-02-09,0,0
"E09000026","Redbridge",2020-02-09,0,0
"E09000027","Richmond upon Thames",2020-02-09,0,0
"E09000028","Southwark",2020-02-09,0,0
"E09000029","Sutton",2020-02-09,0,0
"E09000030","Tower Hamlets",2020-02-09,0,0
"E09000031","Waltham Forest",2020-02-09,0,0
"E09000032","Wandsworth",2020-02-09,0,0
"E09000033","Westminster",2020-02-09,0,0
"E09000001","City of London",2020-02-10,0,0
"E09000002","Barking and Dagenham",2020-02-10,0,0
"E09000003","Barnet",2020-02-10,0,0
"E09000004","Bexley",2020-02-10,0,0
"E09000005","Brent",2020-02-10,0,0
"E09000006","Bromley",2020-02-10,0,0
"E09000007","Camden",2020-02-10,0,0
"E09000008","Croydon",2020-02-10,0,0
"E09000009","Ealing",2020-02-10,0,0
"E09000010","Enfield",2020-02-10,0,0
"E09000011","Greenwich",2020-02-10,0,0
"E09000012","Hackney",2020-02-10,0,0
"E09000013","Hammersmith and Fulham",2020-02-10,0,0
"E09000014","Haringey",2020-02-10,0,0
"E09000015","Harrow",2020-02-10,0,0
"E09000016","Havering",2020-02-10,0,0
"E09000017","Hillingdon",2020-02-10,0,0
"E09000018","Hounslow",2020-02-10,0,0
"E09000019","Islington",2020-02-10,0,0
"E09000020","Kensington and Chelsea",2020-02-10,0,0
"E09000021","Kingston upon Thames",2020-02-10,0,0
"E09000022","Lambeth",2020-02-10,0,0
"E09000023","Lewisham",2020-02-10,0,0
"E09000024","Merton",2020-02-10,0,0
"E09000025","Newham",2020-02-10,0,0
"E09000026","Redbridge",2020-02-10,0,0
"E09000027","Richmond upon Thames",2020-02-10,0,0
"E09000028","Southwark",2020-02-10,0,0
"E09000029","Sutton",2020-02-10,0,0
"E09000030","Tower Hamlets",2020-02-10,0,0
"E09000031","Waltham Forest",2020-02-10,0,0
"E09000032","Wandsworth",2020-02-10,0,0
"E09000033","Westminster",2020-02-10,0,0
"E09000001","City of London",2020-02-11,0,0
"E09000002","Barking and Dagenham",2020-02-11,0,0
"E09000003","Barnet",2020-02-11,0,0
"E09000004","Bexley",2020-02-11,0,0
"E09000005","Brent",2020-02-11,0,0
"E09000006","Bromley",2020-02-11,0,0
"E09000007","Camden",2020-02-11,0,0
"E09000008","Croydon",2020-02-11,0,0
"E09000009","Ealing",2020-02-11,0,0
"E09000010","Enfield",2020-02-11,0,0
"E09000011","Greenwich",2020-02-11,0,0
"E09000012","Hackney",2020-02-11,0,0
"E09000013","Hammersmith and Fulham",2020-02-11,0,0
"E09000014","Haringey",2020-02-11,0,0
"E09000015","Harrow",2020-02-11,0,0
"E09000016","Havering",2020-02-11,0,0
"E09000017","Hillingdon",2020-02-11,0,0
"E09000018","Hounslow",2020-02-11,0,0
"E09000019","Islington",2020-02-11,0,0
"E09000020","Kensington and Chelsea",2020-02-11,0,0
"E09000021","Kingston upon Thames",2020-02-11,0,0
"E09000022","Lambeth",2020-02-11,0,0
"E09000023","Lewisham",2020-02-11,1,1
"E09000024","Merton",2020-02-11,0,0
"E09000025","Newham",2020-02-11,0,0
"E09000026","Redbridge",2020-02-11,0,0
"E09000027","Richmond upon Thames",2020-02-11,0,0
"E09000028","Southwark",2020-02-11,0,0
"E09000029","Sutton",2020-02-11,0,0
"E09000030","Tower Hamlets",2020-02-11,0,0
"E09000031","Waltham Forest",2020-02-11,0,0
"E09000032","Wandsworth",2020-02-11,0,0
"E09000033","Westminster",2020-02-11,0,0
"E09000001","City of London",2020-02-12,0,0
"E09000002","Barking and Dagenham",2020-02-12,0,0
"E09000003","Barnet",2020-02-12,0,0
"E09000004","Bexley",2020-02-12,0,0
"E09000005","Brent",2020-02-12,0,0
"E09000006","Bromley",2020-02-12,0,0
"E09000007","Camden",2020-02-12,0,0
"E09000008","Croydon",2020-02-12,0,0
"E09000009","Ealing",2020-02-12,0,0
"E09000010","Enfield",2020-02-12,0,0
"E09000011","Greenwich",2020-02-12,0,0
"E09000012","Hackney",2020-02-12,0,0
"E09000013","Hammersmith and Fulham",2020-02-12,0,0
"E09000014","Haringey",2020-02-12,0,0
"E09000015","Harrow",2020-02-12,0,0
"E09000016","Havering",2020-02-12,0,0
"E09000017","Hillingdon",2020-02-12,0,0
"E09000018","Hounslow",2020-02-12,0,0
"E09000019","Islington",2020-02-12,0,0
"E09000020","Kensington and Chelsea",2020-02-12,0,0
"E09000021","Kingston upon Thames",2020-02-12,0,0
"E09000022","Lambeth",2020-02-12,0,0
"E09000023","Lewisham",2020-02-12,0,1
"E09000024","Merton",2020-02-12,0,0
"E09000025","Newham",2020-02-12,0,0
"E09000026","Redbridge",2020-02-12,0,0
"E09000027","Richmond upon Thames",2020-02-12,0,0
"E09000028","Southwark",2020-02-12,0,0
"E09000029","Sutton",2020-02-12,0,0
"E09000030","Tower Hamlets",2020-02-12,0,0
"E09000031","Waltham Forest",2020-02-12,0,0
"E09000032","Wandsworth",2020-02-12,0,0
"E09000033","Westminster",2020-02-12,0,0
"E09000001","City of London",2020-02-13,0,0
"E09000002","Barking and Dagenham",2020-02-13,0,0
"E09000003","Barnet",2020-02-13,0,0
"E09000004","Bexley",2020-02-13,0,0
"E09000005","Brent",2020-02-13,0,0
"E09000006","Bromley",2020-02-13,0,0
"E09000007","Camden",2020-02-13,0,0
"E09000008","Croydon",2020-02-13,0,0
"E09000009","Ealing",2020-02-13,1,1
"E09000010","Enfield",2020-02-13,0,0
"E09000011","Greenwich",2020-02-13,0,0
"E09000012","Hackney",2020-02-13,0,0
"E09000013","Hammersmith and Fulham",2020-02-13,0,0
"E09000014","Haringey",2020-02-13,0,0
"E09000015","Harrow",2020-02-13,0,0
"E09000016","Havering",2020-02-13,0,0
"E09000017","Hillingdon",2020-02-13,0,0
"E09000018","Hounslow",2020-02-13,0,0
"E09000019","Islington",2020-02-13,0,0
"E09000020","Kensington and Chelsea",2020-02-13,0,0
"E09000021","Kingston upon Thames",2020-02-13,0,0
"E09000022","Lambeth",2020-02-13,0,0
"E09000023","Lewisham",2020-02-13,0,1
"E09000024","Merton",2020-02-13,0,0
"E09000025","Newham",2020-02-13,0,0
"E09000026","Redbridge",2020-02-13,0,0
"E09000027","Richmond upon Thames",2020-02-13,0,0
"E09000028","Southwark",2020-02-13,0,0
"E09000029","Sutton",2020-02-13,0,0
"E09000030","Tower Hamlets",2020-02-13,0,0
"E09000031","Waltham Forest",2020-02-13,0,0
"E09000032","Wandsworth",2020-02-13,0,0
"E09000033","Westminster",2020-02-13,0,0
"E09000001","City of London",2020-02-14,0,0
"E09000002","Barking and Dagenham",2020-02-14,0,0
"E09000003","Barnet",2020-02-14,0,0
"E09000004","Bexley",2020-02-14,0,0
"E09000005","Brent",2020-02-14,0,0
"E09000006","Bromley",2020-02-14,0,0
"E09000007","Camden",2020-02-14,0,0
"E09000008","Croydon",2020-02-14,0,0
"E09000009","Ealing",2020-02-14,0,1
"E09000010","Enfield",2020-02-14,0,0
"E09000011","Greenwich",2020-02-14,0,0
"E09000012","Hackney",2020-02-14,0,0
"E09000013","Hammersmith and Fulham",2020-02-14,0,0
"E09000014","Haringey",2020-02-14,0,0
"E09000015","Harrow",2020-02-14,0,0
"E09000016","Havering",2020-02-14,0,0
"E09000017","Hillingdon",2020-02-14,0,0
"E09000018","Hounslow",2020-02-14,0,0
"E09000019","Islington",2020-02-14,0,0
"E09000020","Kensington and Chelsea",2020-02-14,0,0
"E09000021","Kingston upon Thames",2020-02-14,0,0
"E09000022","Lambeth",2020-02-14,0,0
"E09000023","Lewisham",2020-02-14,0,1
"E09000024","Merton",2020-02-14,0,0
"E09000025","Newham",2020-02-14,0,0
"E09000026","Redbridge",2020-02-14,0,0
"E09000027","Richmond upon Thames",2020-02-14,0,0
"E09000028","Southwark",2020-02-14,0,0
"E09000029","Sutton",2020-02-14,0,0
"E09000030","Tower Hamlets",2020-02-14,0,0
"E09000031","Waltham Forest",2020-02-14,0,0
"E09000032","Wandsworth",2020-02-14,0,0
"E09000033","Westminster",2020-02-14,0,0
"E09000001","City of London",2020-02-15,0,0
"E09000002","Barking and Dagenham",2020-02-15,0,0
"E09000003","Barnet",2020-02-15,0,0
"E09000004","Bexley",2020-02-15,0,0
"E09000005","Brent",2020-02-15,0,0
"E09000006","Bromley",2020-02-15,0,0
"E09000007","Camden",2020-02-15,0,0
"E09000008","Croydon",2020-02-15,0,0
"E09000009","Ealing",2020-02-15,0,1
"E09000010","Enfield",2020-02-15,0,0
"E09000011","Greenwich",2020-02-15,0,0
"E09000012","Hackney",2020-02-15,0,0
"E09000013","Hammersmith and Fulham",2020-02-15,0,0
"E09000014","Haringey",2020-02-15,0,0
"E09000015","Harrow",2020-02-15,0,0
"E09000016","Havering",2020-02-15,0,0
"E09000017","Hillingdon",2020-02-15,0,0
"E09000018","Hounslow",2020-02-15,0,0
"E09000019","Islington",2020-02-15,0,0
"E09000020","Kensington and Chelsea",2020-02-15,0,0
"E09000021","Kingston upon Thames",2020-02-15,0,0
"E09000022","Lambeth",2020-02-15,0,0
"E09000023","Lewisham",2020-02-15,0,1
"E09000024","Merton",2020-02-15,0,0
"E09000025","Newham",2020-02-15,0,0
"E09000026","Redbridge",2020-02-15,0,0
"E09000027","Richmond upon Thames",2020-02-15,0,0
"E09000028","Southwark",2020-02-15,0,0
"E09000029","Sutton",2020-02-15,0,0
"E09000030","Tower Hamlets",2020-02-15,0,0
"E09000031","Waltham Forest",2020-02-15,0,0
"E09000032","Wandsworth",2020-02-15,0,0
"E09000033","Westminster",2020-02-15,0,0
"E09000001","City of London",2020-02-16,0,0
"E09000002","Barking and Dagenham",2020-02-16,0,0
"E09000003","Barnet",2020-02-16,0,0
"E09000004","Bexley",2020-02-16,0,0
"E09000005","Brent",2020-02-16,0,0
"E09000006","Bromley",2020-02-16,0,0
"E09000007","Camden",2020-02-16,0,0
"E09000008","Croydon",2020-02-16,0,0
"E09000009","Ealing",2020-02-16,0,1
"E09000010","Enfield",2020-02-16,0,0
"E09000011","Greenwich",2020-02-16,0,0
"E09000012","Hackney",2020-02-16,0,0
"E09000013","Hammersmith and Fulham",2020-02-16,0,0
"E09000014","Haringey",2020-02-16,0,0
"E09000015","Harrow",2020-02-16,0,0
"E09000016","Havering",2020-02-16,0,0
"E09000017","Hillingdon",2020-02-16,0,0
"E09000018","Hounslow",2020-02-16,0,0
"E09000019","Islington",2020-02-16,0,0
"E09000020","Kensington and Chelsea",2020-02-16,0,0
"E09000021","Kingston upon Thames",2020-02-16,0,0
"E09000022","Lambeth",2020-02-16,0,0
"E09000023","Lewisham",2020-02-16,0,1
"E09000024","Merton",2020-02-16,0,0
"E09000025","Newham",2020-02-16,0,0
"E09000026","Redbridge",2020-02-16,0,0
"E09000027","Richmond upon Thames",2020-02-16,0,0
"E09000028","Southwark",2020-02-16,0,0
"E09000029","Sutton",2020-02-16,0,0
"E09000030","Tower Hamlets",2020-02-16,0,0
"E09000031","Waltham Forest",2020-02-16,0,0
"E09000032","Wandsworth",2020-02-16,0,0
"E09000033","Westminster",2020-02-16,0,0
"E09000001","City of London",2020-02-17,0,0
"E09000002","Barking and Dagenham",2020-02-17,0,0
"E09000003","Barnet",2020-02-17,0,0
"E09000004","Bexley",2020-02-17,0,0
"E09000005","Brent",2020-02-17,0,0
"E09000006","Bromley",2020-02-17,0,0
"E09000007","Camden",2020-02-17,0,0
"E09000008","Croydon",2020-02-17,0,0
"E09000009","Ealing",2020-02-17,0,1
"E09000010","Enfield",2020-02-17,1,1
"E09000011","Greenwich",2020-02-17,0,0
"E09000012","Hackney",2020-02-17,0,0
"E09000013","Hammersmith and Fulham",2020-02-17,0,0
"E09000014","Haringey",2020-02-17,0,0
"E09000015","Harrow",2020-02-17,0,0
"E09000016","Havering",2020-02-17,0,0
"E09000017","Hillingdon",2020-02-17,0,0
"E09000018","Hounslow",2020-02-17,0,0
"E09000019","Islington",2020-02-17,0,0
"E09000020","Kensington and Chelsea",2020-02-17,0,0
"E09000021","Kingston upon Thames",2020-02-17,0,0
"E09000022","Lambeth",2020-02-17,0,0
"E09000023","Lewisham",2020-02-17,0,1
"E09000024","Merton",2020-02-17,0,0
"E09000025","Newham",2020-02-17,0,0
